sample,mtags,main_group,total_group,purity(%),main_specie,main_OTU_mtags,other_groups
GC1003832_B06,352,Ascomycota,212,60.2,NA,143,"Basidiomycota(67),Basidiomycota(27),Basidiomycota(16),Basidiomycota(7),Basidiomycota(6),Basidiomycota(5),Basidiomycota(4),Basidiomycota(3),Basidiomycota(2),Basidiomycota(1),Basidiomycota(1),Dinoflagellata(1)"
GC1003832_B07,749,Ascomycota,707,94.4,SLVJN546132,316,"Basidiomycota(12),Basidiomycota(10),Basidiomycota(6),Basidiomycota(5),Basidiomycota(3),Basidiomycota(2),Basidiomycota(2),Basidiomycota(1),Basidiomycota(1)"
GC1003832_B08,399,Ascomycota,206,51.6,NA,102,"Streptophyta(54),Streptophyta(17),Streptophyta(3),Streptophyta(3),Basidiomycota(44),Basidiomycota(27),Basidiomycota(22),Basidiomycota(6),Basidiomycota(3),Basidiomycota(1),Basidiomycota(1),BasalFungi(4),Chlorarachnea(3),InSedOpisthokonta(3),Nephroselmis(1),InSedArchaeplastida(1)"
GC1003832_B09,744,Ascomycota,474,63.7,NA,294,"Basidiomycota(133),Basidiomycota(19),Basidiomycota(16),Basidiomycota(16),Basidiomycota(12),Basidiomycota(10),Basidiomycota(8),Basidiomycota(8),Basidiomycota(7),Basidiomycota(6),Basidiomycota(6),Basidiomycota(4),Basidiomycota(4),Basidiomycota(3),Basidiomycota(3),Basidiomycota(2),Basidiomycota(2),Basidiomycota(2),Basidiomycota(2),Basidiomycota(2),Basidiomycota(1),Basidiomycota(1),Streptophyta(2),BasalFungi(1)"
GC1003832_B10,772,Ascomycota,662,85.8,NA,297,"Basidiomycota(27),Basidiomycota(25),Basidiomycota(17),Basidiomycota(13),Basidiomycota(6),Basidiomycota(4),Basidiomycota(3),Basidiomycota(2),Basidiomycota(1),Basidiomycota(1),Basidiomycota(1),Basidiomycota(1),Basidiomycota(1),Basidiomycota(1),Basidiomycota(1),Streptophyta(3),Streptophyta(1),Metazoa(2)"
GC1003832_B11,540,Ascomycota,509,94.3,SLVJN546132,218,"Basidiomycota(15),Basidiomycota(4),Basidiomycota(4),Basidiomycota(4),Basidiomycota(2),Basidiomycota(1),Basidiomycota(1)"
GC1003832_B12,6,Ascomycota,6,100,NA,4,
GC1003832_C01,38,Ascomycota,36,94.7,NA,16,"Basidiomycota(1),Basidiomycota(1)"
GC1003832_C02,31,Ascomycota,17,54.8,NA,9,"Basidiomycota(6),Basidiomycota(6),Basidiomycota(1),Basidiomycota(1)"
GC1003832_C03,45,Ascomycota,38,84.4,SLVU43458,22,"Choanoflagellata(2),Basidiomycota(1),Basidiomycota(1),Basidiomycota(1),Streptophyta(1),Metazoa(1)"
GC1003832_C04,8,Streptophyta,4,50,MPN2292,4,"Ascomycota(3),Ascomycota(1)"
GC1003832_C05,15,Ascomycota,8,53.3,NA,6,"Metazoa(3),Basidiomycota(2),Basidiomycota(1),Chlorarachnea(1)"
GC1003832_C06,73,Ascomycota,56,76.7,NA,26,"Basidiomycota(8),Basidiomycota(3),Basidiomycota(1),Basidiomycota(1),Chrysophyceae(3),MAST-11(1)"
GC1003832_C07,62,Ascomycota,23,37.1,SLVJN546132,14,"Metazoa(11),Metazoa(1),Metazoa(1),Basidiomycota(10),Basidiomycota(3),MAST-3(10),MAST-3(3)"
GC1003832_C08,2,Ascomycota,2,100,NA,2,
GC1003832_C09,9,Metazoa,7,77.8,NA,4,MAST-7(2)
GC1003832_C10,2,Ascomycota,2,100,NA,2,
GC1003832_C11,14,Ascomycota,12,85.7,NA,6,Basidiomycota(2)
GC1003832_C12,596,Ascomycota,558,93.6,NA,458,"MALV-I(14),MALV-I(6),MALV-I(6),MALV-I(4),MALV-I(3),MALV-I(3),MALV-I(1),Basidiomycota(1)"
GC1003832_D01,10,Metazoa,6,60,MPN357,5,"Ascomycota(1),Basidiomycota(1),Basidiomycota(1),MAST-3(1)"
